23232,223232,232323,
1212,1212,2.22222e+008,
444,444,444,
2121212,gggg,12,
212121,gggg,12,
007,Royal Gala กาล่า Cape ขนาด 150 ลูก,-5.5,
009,Royal Gala กาล่า Cape ขนาด 198 ลูก,-5.5,
010,Royal Gala กาล่า Cape ขนาด 216 ลูก,-5.5,
011,Royal Gala กาล่า Cape ขนาด 231 ลูก,-5.5,
012,Royal Gala กาล่า Cape ขนาด 252 ลูก,-5.5,
013,Royal Gala กาล่า Fruit Way ขนาด 150 ลูก,-5.5,
014,Royal Gala กาล่า Fruit Way ขนาด 180 ลูก,-5.5,
015,Royal Gala กาล่า Fruit Way ขนาด 198 ลูก,-5.5,
016,Royal Gala กาล่า Fruit Way ขนาด 216 ลูก,-5.5,
017,Royal Gala กาล่า Fruit Way ขนาด 231 ลูก,-5.5,
018,Royal Gala กาล่า Fruit Way ขนาด 252 ลูก,-5.5,
019,PINK Lady จำนวน 150 ลูก,-5.5,
665,Pink Lady ขนาด 180 ลูก,-5.5,
666,Pink Lady ขนาด 198 ลูก,-5.5,
667,Pink Lady ขนาด 216 ลูก,-5.5,
668,Pink Lady ขนาด 231 ลูก,-5.5,
669,Pink Lady ขนาด 252 ลูก,-5.5,
670,Pink Tru Cape ขนาด 150 ลูก,-5.5,
671,Pink Tru Cape ขนาด 180 ลูก,-5.5,
672,Pink Tru Cape ขนาด 198 ลูก,-5.5,
673,Pink Tru Cape ขนาด 216 ลูก,-5.5,
674,Pink Tru Cape ขนาด 231 ลูก,-5.5,
675,Pink Tru Cape ขนาด 252 ลูก,-5.5,
676,Pink พิงค์ Cape ขนาด 150 ลูก,-5.5,
685,Pink Fruit Way ขนาด 150 ลูก,-5.5,
678,Pink Cape ขนาด 198 ลูก,-5.5,
679,Pink Cape ขนาด 216 ลูก,-5.5,
680,Pink Cape ขนาด 231 ลูก,-5.5,
681,Pink Cape ขนาด 252 ลูก,-5.5,
686,Pink Fruit Way ขนาด 180 ลูก,-5.5,
683,Pink Cape ขนาด 180 ลูก,-5.5,
684,Pink Cape ขนาด 216 ลูก,-5.5,
687,Pink Fruit Way ขนาด 198 ลูก,-5.5,
688,Pink Fruit Way ขนาด 216 ลูก,-5.5,
689,Pink Fruit Way ขนาด 231 ลูก,-5.5,
690,Pink Fruit Way ขนาด 252 ลูก,-5.5,
691,Pink Doji ขนาด 150 ลูก,-5.5,
692,Pink Doji ขนาด 150 ลูก,-5.5,
693,Pink Doji ขนาด 180 ลูก,-5.5,
694,Pink Doji ขนาด 198 ลูก,-5.5,
695,Pink Doji ขนาด 216 ลูก,-5.5,
696,Pink Doji ขนาด 231 ลูก,-5.5,
697,Pink Doji ขนาด 252 ลูก,-5.5,
698,Pink Whale ขนาด 150 ลูก,-5.5,
699,Pink Whale ขนาด 180 ลูก,-5.5,
700,Pink Whale ขนาด 198 ลูก,-5.5,
701,Pink Whale ขนาด 216 ลูก,-5.5,
702,Pink Whale ขนาด 231 ลูก,-5.5,
703,Pink Whale ขนาด 252 ลูก,-5.5,
704,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 150 ลูก,-5.5,
705,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 180 ลูก,-5.5,
706,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 198 ลูก,-5.5,
707,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 216 ลูก,-5.5,
708,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 231 ลูก,-5.5,
709,Green Apple แอปเปิ้ลเขียว Tru-cape ขนาด 252 ลูก,-5.5,
710,Green Apple แอปเปิ้ลเขียว Cape ขนาด 150 ลูก,-5.5,
715,Green Apple แอปเปิ้ลเขียว Cape ขนาด 252 ลูก,-5.5,
716,Royal Gala กาล่า DUTOIT ขนาด 150 ลูก,-5.5,
717,Royal Gala กาล่า DUTOIT ขนาด 180 ลูก,-5.5,
718,Royal Gala กาล่า DUTOIT ขนาด 198 ลูก,-5.5,
719,Royal Gala กาล่า DUTOIT ขนาด 216 ลูก,-5.5,
720,Royal Gala กาล่า DUTOIT ขนาด 231 ลูก,-5.5,
721,Royal Gala กาล่า DUTOIT ขนาด 252 ลูก,-5.5,
722,Royal Gala กาล่า GOAL FRUIT ขนาด 150 ลูก,-5.5,
723,Royal Gala กาล่า GOAL FRUIT r ขนาด 180 ลูก,-5.5,
724,Royal Gala กาล่า GOAL FRUIT ขนาด 198 ลูก,-5.5,
725,Royal Gala กาล่า GOAL FRUIT ขนาด 216 ลูก,-5.5,
726,Royal Gala กาล่า GOAL FRUIT ขนาด 231 ลูก,-5.5,
727,Royal Gala กาล่า GOAL FRUIT ขนาด 252 ลูก,-5.5,
728,Royal Gala กาล่า Whale ขนาด 150 ลูก,-5.5,
729,Royal Gala กาล่า Whale ขนาด 180 ลูก,-5.5,
730,Royal Gala กาล่า Whale ขนาด 198 ลูก,-5.5,
731,Royal Gala กาล่า Whale ขนาด 231 ลูก,-5.5,
732,Royal Gala กาล่า Whale ขนาด 252 ลูก,-5.5,
733,Green Apple แอปเปิ้ลเขียว  Fruit Way ขนาด 150 ลูก,-5.5,
734,Green Apple แอปเปิ้ลเขียว  Fruit Way ขนาด 180 ลูก,-5.5,
735,Green Apple แอปเปิ้ลเขียว Fruit Way ขนาด 198 ลูก,-5.5,
736,Green Apple แอปเปิ้ลเขียว Fruit Way ขนาด 216 ลูก,-5.5,
737,Green Apple แอปเปิ้ลเขียว Fruit Way ขนาด 231 ลูก,-5.5,
738,Green Apple แอปเปิ้ลเขียว Fruit Way ขนาด 252 ลูก,-5.5,
739,Green Apple แอปเปิ้ลเขียว DUTOIT ขนาด 150 ลูก,-5.5,
740,Green Apple แอปเปิ้ลเขียว DUTOIT ขนาด 180 ลูก,-5.5,
741,Green Apple แอปเปิ้ลเขียว DUTOIT ขนาด 198 ลูก,-5.5,
742,Green Apple แอปเปิ้ลเขียว DUTOIT ขนาด 216 ลูก,-5.5,
743,Green Apple แอปเปิ้ลเขียว DUTOITi ขนาด 231 ลูก,-5.5,
744,Green Apple แอปเปิ้ลเขียว DUTOIT ขนาด 252 ลูก,-5.5,
745,Green Apple แอปเปิ้ลเขียว Whale ขนาด 150 ลูก,-5.5,
746,Green Apple แอปเปิ้ลเขียว Whale ขนาด 180 ลูก,-5.5,
747,Green Apple แอปเปิ้ลเขียว Whale ขนาด 198 ลูก,-5.5,
748,Green Apple แอปเปิ้ลเขขียว Whale ขนาด 216 ลูก,-5.5,
749,Green Apple แอปเปิ้ลเขียว Whale ขนาด 231 ลูก,-5.5,
750,Green Apple แอปเปิ้ลเขียว Whale ขนาด 252 ลูก,-5.5,
751,Fuji แอปเปิ้ลฟูจิ ขนาด 150 ลูก,-5.5,
756,Fuji แอปเปิ้ลฟูจิ ขนาด 180 ลูก,-5.5,
758,Fuji แอปเปิ้ลฟูจิ ขนาด 216 ลูก,-5.5,
759,FujiI แอปเปิ้ลฟูจิ ขนาด 231 ลูก,-5.5,
760,Fuji แอปเปิ้ลฟูจิ ขนาด 252 ลูก,-5.5,
761,เชอรี่ขนาด 2 kg,-5.5,
762,เชอรี่ขนาด 5 kg,-5.5,
763,เชอรี่ขนาด 9 kg,-5.5,
764,ส้มซันควิส No.60 ลูก,-5.5,
765,ส้มซันควิส No.72 ลูก,-5.5,
766,ส้ม Cri tru 44 ลูก,-5.5,
767,ส้ม Cri tru 54 ลูก,-5.5,
768,ส้ม Cri tru 60 ลูก,-5.5,
769,องุ่นแดง แบบตะกร้า,-5.5,
771,องุ่นแดง แบบไม้,-5.5,
772,องุ่นแดง แบบคู่,-5.5,
773,องุ่นแดงจีน แบบตะกร้า,-5.5,
774,องุ่นแดงจีน แบบโฟม XL,-5.5,
775,องุ่นแดงจีน แบบไม้,-5.5,
776,องุ่นแดงจีน แบบคู่,-5.5,
777,องุ่นแดง (ไม่มีเมล็ด) แบบตะกร้า,-5.5,
779,องุ่นแดง (ไม่มีเมล็ด) แบบไม้,-5.5,
780,องุ่นแดงจีน (ไม่มีเมล็ด) แบบคู่,-5.5,
781,องุ่นแดง 222 จีน แบบตะกร้า,-5.5,
782,องุ่นแดงจีน (ไม่มีเมล็ด) แบบโฟม,-5.5,
783,องุ่นแดงจีน (ไม่มีเมล็ด) แบบไม้,-5.5,
785,องุ่นดำ แบบตะกร้า,-5.5,
787,องุ่นดำ แบบไม้,-5.5,
788,องุ่นดำ แบบคู่,-5.5,
789,องุ่นดำ จีน แบบตะกร้า,-5.5,
790,องุ่นดำ แบบโฟม GOLD BLACK GRAPE,-5.5,
791,องุ่นดำ จีน แบบไม้,-5.5,
792,องุ่นดำ จีน แบบคู่,-5.5,
793,องุ่นเขียว แบบตะกร้า,-5.5,
794,องุ่นเขียว แบบโฟม,-5.5,
795,องุ่นเขียว แบบไม้,-5.5,
796,องุ่นเขียว แบบคู่,-5.5,
797,องุ่นเขียว จีน แบบตะกร้า,-5.5,
798,องุ่นเขียว จีน แบบโฟม,-5.5,
799,องุ่นเขียว จีน แบบไม้,-5.5,
800,องุ่นเขียว จีน แบบคู่,-5.5,
801,ลูกแพร่เขียวแบบ S,-5.5,
802,ลูกแพร่เขียวแบบ M,-5.5,
803,ลูกแพร่แดงแบบ S,-5.5,
804,ลูกแพร่แดงแบบ M,-5.5,
815,Fuji แอปเปิ้ลฟูจิ ขนาด 80 ลูก,-5.5,
817,Fuji แอปเปิ้ลฟูจิ ขนาด88ลูก,-5.5,
818,Fuji แอปเปิ้ลฟูจิ ขนาด 100 ลูก,-5.5,
819,Fuji แอปเปิ้ลฟูจิ ขนาด 113ลูก,-5.5,
820,Fuji แอปเปิ้ลฟูจิ ขนาด 125 ลูก,-5.5,
821,Fuji แอปเปิ้ลฟูจิ ขนาด 32 ลูก,-5.5,
822,Fuji แอปเปิ้ลฟูจิ ขนาด 28ลูก,-5.5,
824,GRANNY SMIT APPLE แอปเปิ้ลเขียว COOPEX  ขนาด 180 ลูก,-5.5,
825,test test,-5.5,
826,ppppp,-5.5,
829,ROYAL GALA GOLDEN BAY FRUIT กาล่า 198 ลูก,-5.5,
828,Royal Gala กาล่า GOEDE HOOP ขนาด 198 ลูก,-5.5,
830,องุ่นแดง จีน กล่องโฟม( L),-5.5,
835,องุ่นแดงจีนแบบกล่องโฟม,-5.5,
832,องุ่นแดงจีนแบบโฟม (เปลือย),-5.5,
851,องุ่นแดง โฟม (2A),-5.5,
849,ทับทิม (ขนาด7A),-5.5,
850,ทับทิม (ขนาด 9A),-5.5,
840,สาลี่หยก (48ลูก),-5.5,
841,สาลี่หยก (60ลูก),-5.5,
842,แก้วมังกร (ขนาด17ลูก),-5.5,
843,แตงธิเบต (14 KG),-5.5,
837,องุ่นแดงจีน กล่องโฟม (A),-5.5,
838,องุ่นแดงจีน (AA),-5.5,
839,แอ๊บเปิ้ลแคระ (ตระกร้า) ,-5.5,
852,องุ่นแดงโฟม (A),-5.5,
853,สาลี่เป็ด,-5.5,
854,แก้วมังกร (ขนาด 14 ลูก),-5.5,
855,แก้วมังกร (ขนาด 16ลูก),-5.5,
855,แก้วมังกร (ขนาด 15ลูก),-5.5,
858,แก้วมังกร(ขนาด 16 ลูก),-5.5,
859,แก้วมังกร (ขนาด 17 ลูก),-5.5,
860,แก้วมังกร ,-5.5,
857,แก้วมังกร (ขนาด 15ลูก),-5.5,
2001,สติ้กเกอร์ เคลือบใส ยี่ห้อ 3M,11,
0310293001387113039,กบผัดพริกไทย,836.55,
3001,เมาส์ Huawei 8699,3500,
109745TH,นิวทริไลท์ ไบโอซีพลัส,806.85,
8854698010009,โออิชิ ฟรุตโต้,15,
998887,ข้าวหอมมะลิ,20,
8850188251105,นม โฟโมส,10,
